Strategy,TrainROI%,TestROI%,TrainN,TestN,Delta
K1W8_KEE+Sprint+Wet,-30.07,44.01,68,122,74.1
K1W8_KEE+Dirt+Wet,-29.42,28.03,75,106,57.5
K1W8_KEE+MidLate+Wet,-2.29,23.65,152,212,25.9
K1W8_FS10-11+Gap15+CD,5.52,23.11,277,208,17.6
K1W8_KEE+Wet,-18.02,14.98,202,296,33.0
K1W8_KEE+BigPool+Wet,-14.28,13.73,192,282,28.0
K1W8_FS10-12+Gap15+CD,-3.92,12.18,418,294,16.1
K1W8_KEE+Sprint,-20.11,11.11,924,605,31.2
K1W8_FS10-11+FavVStr,-16.94,6.05,682,405,23.0
K1W8_KEE+Dirt+Gap15,-5.03,5.58,332,239,10.6
K1W8_KEE+BigPool,-20.69,3.41,1731,1080,24.1
K1W8_KEE+Dirt,-18.13,1.9,1325,701,20.0
K1W8_FS10-12+Dirt+CD,-3.9,1.89,1216,842,5.8
K1W8_CD+FS10-12,-11.82,1.85,1698,1159,13.7
K1W8_KEE,-22.05,0.33,1881,1163,22.4
K1W8_CD+Gap15,-19.56,-0.27,1021,619,19.3
K1W8_KEE+FS10-12,-17.98,-0.47,1166,683,17.5
K1W8_CD+FS10-11,-8.73,-0.82,1121,794,7.9
K1W8_KEE+FS10-11,-10.3,-1.2,727,389,9.1
K1W8_CD+MidLate,-18.5,-1.84,2696,1606,16.7
K1W8_FS10-11+Gap15,-16.88,-1.9,3020,1724,15.0
K1W8_FS10-12+FavVStr,-18.36,-2.62,878,522,15.7
K1W8_FavStr+FS10-11,-22.27,-2.74,2525,1485,19.5
K1W8_FS10-12+Gap15,-17.09,-6.15,4080,2356,10.9
K1W8_FS10-11+Dirt+CD,4.51,-6.64,791,590,-11.1
K1W8_FS10-12+FavVStr+Wet,13.88,-7.4,109,70,-21.3
K1W8_KEE+Gap15,-9.67,-7.96,467,368,1.7
K1W8_CD,-19.8,-9.28,3545,2265,10.5
K1W8_FS10-11,-18.4,-13.43,11558,6309,5.0
K1W8_Muddy+FavStr,-12.82,-20.26,1210,816,-7.4
